,ticket_id,fault_time,ticket_fm_nonfm,ticket_rca_result_dtl_code,root_cause_code,ticket_rca_type,ticket_type,root_cause_domain,root_cause_type,root_cause_instlocationa,root_cause_checka,root_cause_officea,root_cause_portz,root_cause_checkz,transcircuitseq,root_cause_equip_typez,root_cause_instlocationz,root_cause_sysnamez,root_cause_equip_typea,root_cause_sysnamea,root_cause_porta,root_cause_officez,ntt_label
12696,8689294,2021-06-14 9:52,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,JBWJB0186    ,True,R03151,0,True,0,0,0,0,PTNTFM1010,JB상관우체-PTS-0101-01-01,PSUA,0,TT
12697,8689294,2021-06-14 9:52,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,JBWJB0186    ,True,R03151,0,True,0,0,0,0,PTNTFM1010,JB상관우체-PTS-0101-01-01,PSUA,0,TT
12698,8692296,2021-06-14 11:30,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGAG01092    ,True,R00645,0,True,0,0,0,0,PTNTFM1020,KGC연수원인재관_지상1층_MDF실-PTS-0101-01-01,PSUA,0,TT
12699,8692296,2021-06-14 11:30,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGAG01092    ,True,R00645,0,True,0,0,0,0,PTNTFM1020,KGC연수원인재관_지상1층_MDF실-PTS-0101-01-01,PSUA,0,TT
12700,8692300,2021-06-14 11:30,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGAG01092    ,True,R00645,0,True,0,0,0,0,PTNTFM1020,KGC연수원인재관_지상1층_MDF실-PTS-0101-02-01,PSUA,0,TT
12701,8692300,2021-06-14 11:30,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGAG01092    ,True,R00645,0,True,0,0,0,0,PTNTFM1020,KGC연수원인재관_지상1층_MDF실-PTS-0101-02-01,PSUA,0,TT
12702,8693420,2021-06-14 12:09,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBLB0046    ,True,R02314,0,True,4718892,0,CNBLB0746    ,보령성주우체국-PTS-0101-01-01,PTNTFM3064,성주R1-PTS-0110-05-01,S4-P1,R02314,NTT
12703,8693420,2021-06-14 12:09,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBLB0046    ,True,R02314,0,True,4718892,0,CNBLB0746    ,보령성주우체국-PTS-0101-01-01,PTNTFM3064,성주R1-PTS-0110-05-01,S4-P1,R02314,NTT
12704,8695933,2021-06-14 13:35,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,BSHWB2148    ,True,R01126,0,True,0,0,0,0,PTNTFM1010,BS해경미포출장소-PTS-0101-02-01,PSUA,0,TT
12705,8695933,2021-06-14 13:35,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,BSHWB2148    ,True,R01126,0,True,0,0,0,0,PTNTFM1010,BS해경미포출장소-PTS-0101-02-01,PSUA,0,TT
12706,8699279,2021-06-14 15:23,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,True,0,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,PSUA,0,NTT
12707,8699279,2021-06-14 15:23,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,True,0,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,PSUA,0,NTT
12708,8699416,2021-06-14 15:28,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,True,0,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,PSUA,0,NTT
