제목,URL,다시 읽기,메모,분류
아직도 파이썬으로만 머신 러닝 하니? 난 SQL로 바로 쓴다!,https://master.d1ves3j69xoriy.amplifyapp.com/,No,,"AWS, Machine Learning"
"TFX, Kubeflow 파이프라인, Cloud Build를 사용하는 MLOps 아키텍처",https://cloud.google.com/solutions/machine-learning/architecture-for-mlops-using-tfx-kubeflow-pipelines-and-cloud-build?hl=ko,No,,MLOps
Building a feature platform to scale machine learning(GoJek),https://info.dataengconf.com/hubfs/bcn18-talks/Willem%20Pienaar%20-%20Feature%20Platform.pdf,No,,MLOps
MLOps: Continuous delivery and automation pipelines in machine learning,https://cloud.google.com/solutions/machine-learning/mlops-continuous-delivery-and-automation-pipelines-in-machine-learning,No,,MLOps
클라우드 AI Platform TensorFlow 2 모델을 배포하는 방법,https://developers-kr.googleblog.com/2020/05/how-to-deploy-tensorflow-2-models-on-cloud-ai-platform.html,No,,MLOps
논문을 무료로 보는 방법,https://www.youtube.com/watch?v=KtEIXFlfR_4&feature=youtu.be,No,,기타
Causality and Machine Learning,https://www.microsoft.com/en-us/research/group/causal-inference/,No,,Causal Inference
imbalanced-learn,https://imbalanced-learn.readthedocs.io/en/stable/,No,,Machine Learning
It’s All A/Bout Testing: The Netflix Experimentation Platform,https://netflixtechblog.com/its-all-a-bout-testing-the-netflix-experimentation-platform-4e1ca458c15,No,,Data Analysis
QGIS 관련 유튜브 영상(한국어),https://www.youtube.com/user/monotaxism/videos,No,,QGIS
end-to-end-model-test-gcp,https://github.com/ReneeErnst/end-to-end-model-test-gcp#environment-variables-in-ai-platform-notebook,No,,MLOps
How to print the full traceback without halting the program?,https://stackoverflow.com/questions/3702675/how-to-print-the-full-traceback-without-halting-the-program,No,,"Development, Python"
Dependency Injector,http://python-dependency-injector.ets-labs.org/index.html,No,,Python
Uber fiber,https://uber.github.io/fiber/introduction/,No,,"MLOps, Python"
Uber Fiber 블로그 글,https://eng.uber.com/fiberdistributed/,No,,MLOps
The Simplest Way to Serve your NLP Model in Production with Pure Python,https://medium.com/distributed-computing-with-ray/the-simplest-way-to-serve-your-nlp-model-in-production-with-pure-python-d42b6a97ad55,No,,MLOps
Airflow Summit 2020,https://airflowsummit.org/,No,,"Data Engineering, MLOps"
MIT 대학생 질문 받고 20초 동안 침묵한 스티브잡스(조직 관련),https://youtu.be/IEK5SPCai4A,No,,Leadership
GCP Solution 아키텍쳐 예시,https://showcase.withgoogle.com/solutions-architecture/,No,,"Data Engineering, Google Cloud Platform"
Awesome Network Analysis,https://github.com/briatte/awesome-network-analysis,No,,"Graph, Machine Learning"
구글의 조직 문화,https://brunch.co.kr/@heyground/70,No,,Culture
Software Engineering 101,https://www.slideshare.net/alexeymigutsky/software-engineering-101,No,,Development
조던 피터슨 '균형 잡힌 삶 vs 한분야의 최고가 되기' 선택하세요,https://youtu.be/awWBEiZ7dm0,No,,동기부여
"최고가 되기' 선택하세요뭘해도 술술 잘 풀리는 사람들의 화법 ",https://www.youtube.com/watch?v=XH9Cuqe7_jo,No,,화법
ML Test 방식,https://www.jeremyjordan.me/testing-ml/,No,,MLOps
MLOps - trains,https://github.com/allegroai/trains,No,,MLOps
ml-system-design-pattern(한글),https://mercari.github.io/ml-system-design-pattern/README_ko.html,No,,MLOps
The Role of the Data Engineer is Changing,https://www.kdnuggets.com/2019/01/role-data-engineer-changing.html,No,,Data Engineering
Full Stack Deep Learning Docs,https://course.fullstackdeeplearning.com/,No,,MLOps
Machine Learning Design Patterns Book,https://learning.oreilly.com/library/view/machine-learning-design/9781098115777/,No,,MLOps
Introduction to Causal Inference 강의,https://www.bradyneal.com/causal-inference-course,No,,Causal Inference
"Why Data Science Teams Need Generalists, Not Specialists 글",https://hbr.org/2019/03/why-data-science-teams-need-generalists-not-specialists,No,,MLOps
Big Query Live Training - A Deep Dive into Data Pipelining,https://youtu.be/UPMH11BqvGs,No,,"BigQuery, Google Cloud Platform"
Step-by-Step Guide to Link Your Google Analytics 4 Property to BigQuery,https://online-metrics.com/ga4-bigquery/,No,,"BigQuery, Google Analytics"
Google Analytics 4 has launched,https://louder.com.au/2020/10/15/google-analytics-4-launches/,No,,Google Analytics
Tools for Modeling Validation Process:The Dark Side of LP,http://home.ubalt.edu/ntsbarsh/business-stat/opre/partv.htm,No,,Optimization
쿠버네티스 안내서 - 설치부터 배포까지(실습편),https://subicura.com/k8s/,No,,"DevOps, Kuberentes, MLOps"
Spotify UX Analysis and Redesign,https://blog.prototypr.io/spotify-reverse-engineering-8f6a0d9850c8,No,,UX
그로스해커 Interveiw,https://www.notion.so/Interview-Interviewer-9b8ba952d9cf4b74aee65e7acb014984,No,,Interview
https://www.grabbing.me/IT-A-to-Z-By-1e1fbc981b7c4c03ac44943085ac8304,https://www.grabbing.me/IT-A-to-Z-By-1e1fbc981b7c4c03ac44943085ac8304,No,,개발 상식
누구나 원하는 개발자되기,https://blog.shiren.dev/2020-11-23/,No,,커리어
유용한 Product Management 컨텐츠,https://mobile.twitter.com/shreyas/status/1278208608103043073?fbclid=IwAR2IzNgQTgY_gC6UpdPXmI4bEBKMM8Tcl1E3milSGCf7WSSr4gtdv4YAC0Y,No,,PM
가장 많이 사용되는 IntelliJ IDEA 단축키 15개,https://blog.jetbrains.com/ko/2020/03/11/top-15-intellij-idea-shortcuts_ko/,No,,"Development, IDE"
Guidebook: Best Product Management Solutions and Tools — A mature landscape,https://nsuchaud.medium.com/guide-2020-best-product-management-solutions-and-tools-a-mature-landscape-9f0072463f40,No,,PM
심심해서 실리콘 밸리 AI/ML research scientist 취업관련 질문 받는다,https://phdkim.net/board/free/7628/,No,,커리어
"""How Long Does it Take for My Firebase Analytics Data to Show Up?""",https://firebase.googleblog.com/2016/11/how-long-does-it-take-for-my-firebase-analytics-data-to-show-up.html,No,,Firebase
Announcing Realtime Exporting of your Analytics Data into BigQuery,https://firebase.googleblog.com/2016/08/real-time-exporting-of-analytics-data-into-bigquery.html,No,,"BigQuery, Firebase"
AI Explanations Whitepaper,https://storage.googleapis.com/cloud-ai-whitepapers/AI%20Explainability%20Whitepaper.pdf,No,,"Google Cloud Platform, MLOps"
Applied ML,https://github.com/eugeneyan/applied-ml,No,,"DataOps, MLOps"
[Upstage Talks] Graph Database 입문자가 1년동안 배운 것들,https://www.youtube.com/watch?v=YJjsI8zQvno&ab_channel=Upstage,No,,Graph
AB 프레임워크 planout,https://facebook.github.io/planout/,No,,"AB Test, Data Analysis"
Why a codeless implementation will let you down,https://mixpanel.com/blog/codeless-analytics-problems/,No,,Data Analysis
대성할 실무자들의 특징,https://www.facebook.com/juliuschunpage/posts/270789361305252#,No,,일잘러
Bandit Algorithm,https://github.com/st-tech/zr-obp,No,,Data Analysis
ai product to market,https://www.oreilly.com/radar/bringing-an-ai-product-to-market/,No,,PM
PM/UX를 자료 모음(Cur-ration),https://www.notion.so/Cue-ration-1d738d06be06465ba03f7ae93ddbf9d3,No,,"PM, UX"
Google Data Studio Essentials Free Video,https://blog.siavak.com/posts/google-data-studio-essentials-free-video-course,No,,Data Visualization
Locale AI(지리 데이터 시각화 예시),https://blog.locale.ai/tag/use-case/,No,,Data Visualization
How to Detect Model Drift in ML Monitoring,https://blog.fiddler.ai/2020/08/how-to-detect-data-drift/,No,,MLOps
Evidently,https://github.com/evidentlyai/evidently,No,,MLOps
실리콘 밸리의 엔지니어링 매니저(리더)들은 대체 무엇을 하는가? (2편),https://sendbird.com/ko/blog/eng-leader-role-2,No,,Leadership
Which causal inference book you should read,https://www.bradyneal.com/which-causal-inference-book,No,,Causal Inference
Why we re-designed our engineering career paths at CircleCI,https://circleci.com/blog/why-we-re-designed-our-engineering-career-paths-at-circleci/,No,,Leadership
Flat Data - Github를 데이터 ETL 도구 및 저장소로 사용하기,https://news.hada.io/topic?id=4296,No,,Data Engineering
All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,No,,Development
New Google Cloud innovations to unify your data cloud,https://cloud.google.com/blog/products/data-analytics/google-cloud-announces-new-data-cloud-products,No,,Google Cloud Platform
아이템에 대한 만족도는 플레이어가 게임을 열심히 하는데 영향을 미칠까??,https://danbi-ncsoft.github.io/works/2021/05/20/class_get_causal_analysis2.html,No,,Causal Inference
GCP Dataflow Python 패키지,https://beam.apache.org/documentation/sdks/python-pipeline-dependencies/,No,,Google Cloud Platform
"직감에서 계획까지 : ""신중한 실행 프레임워크""",https://stibee.com/api/v1.0/emails/share/ry2HEO51Yab9bZr2U4Jmr3Dy9OCyMg,No,,Data Analysis
좋은 코드,https://sangminpark.blog/2021/05/28/%EC%A2%8B%EC%9D%80-%EC%BD%94%EB%93%9C/,No,,Development
Doordash 기술 블로그,https://doordash.engineering/,No,,Development
How These 8 Companies Implement MLOps – In-Depth Guide,https://neptune.ai/blog/how-these-8-companies-implement-mlops,No,,MLOps
A/B testing in a long-distance carpooling marketplace,https://medium.com/blablacar/a-b-testing-in-a-long-distance-carpooling-marketplace-35a67737f4b,No,,Data Analysis
"MLOps: What It Is, Why it Matters, and How To Implement It (from a Data Scientist Perspective)",https://neptune.ai/blog/mlops-what-it-is-why-it-matters-and-how-to-implement-it-from-a-data-scientist-perspective,No,,MLOps
Airflow CI/CD: Github to Cloud Composer (safely),https://www.youtube.com/watch?v=ZgTf523XM0g,No,,"Data Engineering, MLOps"
Experimentation Platform(Microsoft),https://www.microsoft.com/en-us/research/group/experimentation-platform-exp/,No,,AB Test
온라인 회의 잘하기,https://www.notion.so/a52501fd895b4436aa367e22fcd0dedf,No,,Online
성공적인 채용 면접의 공공연한 비결,http://egloos.zum.com/agile/v/5359401,No,,Interview
인터뷰에서 진실을 들으려면,http://agile.egloos.com/2891385,No,,Interview
41 Behavioural Interview Questions You Must Know (Best Answers Included),https://www.themartec.com/insidelook/behavioral-interview-questions,No,,Interview
Mode의 Analytics Training,https://mode.com/sql-tutorial/sql-business-analytics-training/,No,,Data Analysis
wiki,,No,,
task1,,No,,ing
task,,No,,ing
,http://www.engineeringladders.com/,No,,Leadership
Engineering Ladders(엔지니어 매니저의 프레임워크),http://www.engineeringladders.com/Developer.html#d3---developer-3,No,,Leadership
Trustworthy Online Controlled Experiments: A Practical Guide to A/B Testing 정리,https://docs.google.com/presentation/d/1bOnRKwxblFZ3DBNLM5VjHLXfAMHuiNFoqctnFEpyWl0/edit,No,,AB Test
"마케팅 데이터 분석, 저는 이렇게 합니다",https://brunch.co.kr/@milaresoltimi/113,No,,Marketing
PRML - 리뉴얼본,https://probml.github.io/pml-book/,No,,"Machine Learning, Math"
KAIST CS431: Concurrent Programming,https://www.youtube.com/playlist?list=PL5aMzERQ_OZ9j40DJNlsem2qAGoFbfwb4,No,,Development
"AB Test 기업 블로그 ",,No,,AB Test
Causal Inference Book,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,No,,Causal Inference
Dropbox Engineering Career Framework,https://dropbox.github.io/dbx-career-framework/overview.html,No,,Leadership
Engineering Carrer Framework(Sheet),https://docs.google.com/spreadsheets/d/1k_QkZISJ2cIk_Py_pdzsAt5fUwWOYZVkkXg4KZM8IXA/htmlview,No,,Leadership
Gitlab Engineering Career Framework,https://about.gitlab.com/handbook/engineering/career-development/matrix/engineering/#engineering-career-framework,No,,Leadership
Thinkful Data Analytics Career Path,https://www.thinkful.com/blog/data-analytics-career-path/,No,,Leadership
What is the Typical Data Analyst Career Path?,https://careerfoundry.com/en/blog/data-analytics/data-analyst-career-path/,No,,Leadership
Building a Career in Data Science and Analytics: The Ultimate Guide,https://blog.edx.org/data-science-analytics-career-guide,No,,"Career, Leadership"
LyftLearn: ML Model Training Infrastructure built on Kubernetes,https://eng.lyft.com/lyftlearn-ml-model-training-infrastructure-built-on-kubernetes-aef8218842bb,No,,MLOps
Cheat Sheets for Machine Learning and Data Science,https://sites.google.com/view/datascience-cheat-sheets,No,,Interview
Google Cloud Deploy,https://cloud.google.com/deploy/docs/overview,No,,"Data Engineering, DevOps"
What type of data processing organization are you?,https://cloud.google.com/blog/products/data-analytics/data-driven-transformation-using-googles-unified-analytics-platform,No,,"Data Engineering, DataOps"
ipywidget 사용법,https://engineer-mole.tistory.com/180,No,,Data Visualization
외국계 면접)Behavioral Interview (행동면접) 질문리스트,https://m.blog.naver.com/PostView.naver?isHttpsRedirect=true&blogId=yoojun0&logNo=221536806296,No,,Interview
데이터 리터러시 올리는 CDO(최고 데이터 책임자)의 8가지 역할,https://slownews.kr/82175,No,,Data Literacy
Want to Improve Your Career? Become an Uncertainty Killer,https://ofdollarsanddata.com/become-an-uncertainty-killer/,No,,Career
How Airbnb Enables Consistent Data Consumption at Scale,https://medium.com/airbnb-engineering/how-airbnb-enables-consistent-data-consumption-at-scale-1c0b6a8b9206,No,,Data Engineering
How Airbnb Achieved Metric Consistency at Scale,https://medium.com/airbnb-engineering/how-airbnb-achieved-metric-consistency-at-scale-f23cc53dea70,No,,Data Engineering
"Automating Data Protection at Scale, Part 1",https://medium.com/airbnb-engineering/automating-data-protection-at-scale-part-1-c74909328e08,No,,Data Engineering
좋은 '열망'을 이끄는가,https://brunch.co.kr/@workplays/79,No,,Leadership
Our journey towards an open data platform,https://medium.com/yotpoengineering/our-journey-towards-an-open-data-platform-8cfac98ef9f5,No,,Data Engineering
How to Move Beyond a Monolithic Data Lake to a Distributed Data Mesh,https://martinfowler.com/articles/data-monolith-to-mesh.html,No,,Data Engineering
Customized Regression Model for Airbnb Dynamic Pricing,https://t1.daumcdn.net/cfile/tistory/9978AD3B5BA227531F?download,No,,Dynamic Pricing
음식 배달 앱 아키텍처 분석(한국어),https://www.joinc.co.kr/w/man/12/architecture/EndToEndDesignOfFoodDeliveryApp,No,,Development
End to End Design of food delivery app (Zomato or Swiggy),https://medium.com/@ravindersengar/end-to-end-design-of-a-food-delivery-app-like-zomato-or-swiggy-52b96f3a635f,No,,Development
몸 값 안 올리기,https://agile.egloos.com/5783372,No,,Leadership
Reimaged From devOps To MLOps,https://wangkang85.notion.site/Reimagined-From-DevOps-to-MLOps-af9937177e3c487396cfec34a858c330,No,,MLOps
Your Data PM is not a panacea,https://roundup.getdbt.com/p/your-data-pm-is-not-a-panacea,No,,Data PM
Awesome AI Infrastructures,https://github.com/1duo/awesome-ai-infrastructures,No,,MLOps
FLAML,https://github.com/microsoft/FLAML,No,,MLOps
Elyra(Notebook),https://github.com/elyra-ai/elyra,No,,MLOps
C레벨 뽑으세요? C레벨 제안 받았어요? 5가지만 기억하세요.,https://outstanding.kr/clevel20211220,No,,Leadership
Real-time machine learning: challenges and solutions,https://huyenchip.com/2022/01/02/real-time-machine-learning-challenges-and-solutions.html,No,,MLOps
2022년 우리의 커리어를 형성할 트렌드들,https://news.hada.io/topic?id=5672,No,,Career
Analytics Engineer vs BI Engineer: The Hybrid Data Roles,https://medium.com/analytics-vidhya/analytics-engineer-vs-bi-engineer-the-hybrid-twins-80fe30e85511,No,,Career
Analytics Engineer vs. BI Developer,https://www.linkedin.com/pulse/analytics-engineer-vs-bi-developer-vincenzo-porpiglia/,No,,Career
Causal Inference for The Brave and True,https://matheusfacure.github.io/python-causality-handbook/landing-page.html,No,,Causal Inference
Modern Data Stack,https://www.moderndatastack.xyz/categories,No,,Data Engineering
What is a metrics store? Why your data team should define business metrics in code,https://blog.transform.co/what-is-a-metrics-store-why-your-data-team-should-define-business-metrics-in-code/,No,,Data Engineering
Marketing Multi-Channel Attribution model with R (part 1: Markov chains concept),https://www.analyzecore.com/2016/08/03/attribution-model-r-part-1/,No,,Data Analysis
Education NFTs Will Replace Diplomas and Resumes,https://www.linkedin.com/pulse/education-nfts-replace-diplomas-resumes-beau-brannan/,No,,NFT
API First Development,https://youtu.be/Dhz_NqnsRcE,No,,Development
목적 조직과 기능 조직,https://hbr.org/1968/11/organizational-choice-product-vs-function,No,,Leadership
준 실시간 Data Lake 구성하기,https://medium.com/tripstore-data-product/%EC%A4%80-%EC%8B%A4%EC%8B%9C%EA%B0%84-data-lake-%EA%B5%AC%EC%84%B1%ED%95%98%EA%B8%B0-e3fb60548e01,No,,Data Engineering
