제목,URL,다시 읽기,메모,분류
게임 디렉팅 가이드,https://www.slideshare.net/iyooha/ss-69350767,Yes,,Leadership
gRPC,https://medium.com/@goinhacker/microservices-with-grpc-d504133d191d,Yes,,Development
시스템 모델링 시뮬레이션 입문,https://kooc.kaist.ac.kr/isms1/,Yes,,Simulation
Causal Inference(데이터 → 인과관계),https://www.slideshare.net/lumiamitie/causal-inference-primer-20190601,Yes,,Causal Inference
Deep Reinforcement Learning with Applications in Transportation,https://outreach.didichuxing.com/tutorial/AAAI2019/,No,,Reinforcement Learning
Kubeflow + TFX + Airflow,https://www.youtube.com/watch?v=OhIa2cnGD8Y,No,,MLOps
생존분석 개요,https://statkclee.github.io/ml/ml-pm-survival.html,No,,Survival Analysis
NDC 실전 이탈 예측과 유의사항,https://www.youtube.com/watch?v=kcE_1n41xdk,No,,Survival Analysis
빅콘테스트 블소 1등 회사,https://www.yokozunadata.com/research/,No,,Survival Analysis
하이퍼커넥트의 자동 광고 측정 서비스 구현하기(LTV 이야기 나옴),https://www.slideshare.net/ssuseraefa0b/pycon-korea-2018-110378569,Yes,,Survival Analysis
NCSOFT 다니시는 분의 “실전 이탈 예측 모델링을 위한 세 가지 고려 사항,https://brunch.co.kr/@gimmesilver/54,Yes,,Survival Analysis
박장시님의 이탈 예측하기,https://boxnwhis.kr/2015/02/09/predict_churns.html,Yes,,Survival Analysis
Label Encoding vs One Hot Encoding(Kaggle),https://www.kaggle.com/c/ieee-fraud-detection/discussion/102147,Yes,,Machine Learning
Categorical Features and Encoding in Decision Trees,https://medium.com/data-design/visiting-categorical-features-and-encoding-in-decision-trees-53400fa65931,No,,Machine Learning
Dash,https://github.com/plotly/dash,No,,Data Visualization
MLOps Pipeline using Google Cloud Composer,http://blog.zenof.ai/machine-learning-operations-mlops-pipeline-using-google-cloud-composer/,No,,MLOps
grpc를 사용한 serving,https://blog.goodaudience.com/ml-client-server-using-grpc-in-python-3cba7693d1f5,No,,MLOps
machine-learning-microservice-python,https://github.com/yu-iskw/machine-learning-microservice-python,No,,MLOps
Early Return Style,http://mkseo.pe.kr/blog/?p=2631,No,,Python
How to load geographic data like shapefiles into BigQuery,https://medium.com/google-cloud/how-to-load-geographic-data-like-zipcode-boundaries-into-bigquery-25e4be4391c8,Yes,,"BigQuery, Data Visualization"
How to create and deploy a Kubeflow Machine Learning Pipeline (Part 1),https://towardsdatascience.com/how-to-create-and-deploy-a-kubeflow-machine-learning-pipeline-part-1-efea7a4b650f,No,,MLOps
Kubeflow v0.5 simplifies model development with enhanced UI and Fairing library,https://medium.com/kubeflow/kubeflow-v0-5-simplifies-model-development-with-enhanced-ui-and-fairing-library-78e19cdc9f50,No,,MLOps
Introduction to Operation Research,http://www.cs.toronto.edu/~stacho/public/IEOR4004-notes1.pdf,No,,Operation Research
Multi-Class Imbalance,https://towardsdatascience.com/multi-class-imbalance-154ef2b15816,No,,Machine Learning
Time-Series Anomaly Detection Service at Microsoft,https://arxiv.org/pdf/1906.03821v1.pdf,No,,"Anomaly Detection, Time Series"
"주니어, 미드레벨과 시니어 개발자의 차이점",https://medium.com/@erwinousy/%EC%A3%BC%EB%8B%88%EC%96%B4-%EB%AF%B8%EB%93%9C%EB%A0%88%EB%B2%A8%EA%B3%BC-%EC%8B%9C%EB%8B%88%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90%EC%9D%98-%EC%B0%A8%EC%9D%B4%EC%A0%90-d29bffecfec,Yes,,Development
추천시스템 이제는 돈이 되어야 한다,https://www.slideshare.net/ssuser2fe594/ss-164511610,Yes,,Recommendation
Graph Analytics,https://towardsdatascience.com/graph-analytics-introduction-and-concepts-of-centrality-8f5543b55de3,No,,Graph
Time Series of Price Anomaly Detection,https://towardsdatascience.com/time-series-of-price-anomaly-detection-13586cd5ff46,No,,Anomaly Detection
Anomaly detection: A survey,https://www.vs.inf.ethz.ch/edu/HS2011/CPS/papers/chandola09_anomaly-detection-survey.pdf,No,,Anomaly Detection
Machine Learning Code 조각,https://github.com/susanli2016/Machine-Learning-with-Python,No,,Machine Learning
From Exploration to Production — Bridging the Deployment Gap for Deep Learning (Part 1),https://towardsdatascience.com/from-exploration-to-production-bridging-the-deployment-gap-for-deep-learning-8b59a5e1c819,No,,Deeplearning
ML Client/Server Using gRPC in Python,https://blog.goodaudience.com/ml-client-server-using-grpc-in-python-3cba7693d1f5,No,,"Development, MLOps"
TF Serving -Auto Wrap your TF or Keras model & Deploy it with a production-grade GRPC Interface,https://towardsdatascience.com/using-tensorflow-serving-grpc-38a722451064,Yes,,MLOps
BigQuery GIS - A GeoVisual Exploration (Cloud Next '19),https://www.youtube.com/watch?v=Q6BzuIgGnfA,Yes,,BigQuery
AutoGIS,https://automating-gis-processes.github.io/2018/index.html,No,,gis
Deploy your PyTorch model to Production,https://medium.com/datadriveninvestor/deploy-your-pytorch-model-to-production-f69460192217,No,,Serving
pytorch 공식 홈페이지(rest api),https://tutorials.pytorch.kr/intermediate/flask_rest_api_tutorial.html#inference,No,,Serving
Deep-Learning-in-Production,https://github.com/ahkarami/Deep-Learning-in-Production,No,,Serving
probabilistic-graphical-models,https://www.coursera.org/learn/probabilistic-graphical-models,No,그래프 모델도 다시.. 꼭!,Graph
Mean (likelihood) encodings: a comprehensive study,https://www.kaggle.com/vprokopev/mean-likelihood-encodings-a-comprehensive-study,No,,Machine Learning
h3 visualize,https://nbviewer.jupyter.org/github/uber/h3-py-notebooks/blob/master/H3%20API%20examples%20on%20Urban%20Analytics.ipynb,Yes,H3 시각화..!,Data Visualization
좋은 팀장에겐 이 세 가지가 있더라,https://brunch.co.kr/@poisson-tr/30,Yes,좋은 팀장이 됩시다. 어느정도 하고 있지만 여기 나오지 않은 것들 +@ 진행해야지,Leadership
Multithreaded predictions with TensorFlow Estimators,https://medium.com/element-ai-research-lab/multithreaded-predictions-with-tensorflow-estimators-eb041861da07,Yes,멀티쓰레딩이 중요합니다 총총,Deeplearning
버클리 Machine Learning Systems (Fall 2019),https://ucbrise.github.io/cs294-ai-sys-fa19/,Yes,버클리 정말 좋은 것 같음. 유학 뽐뿌 +1,MLOps
Optimizing Station-based Bike Sharing Systems,https://edenau.github.io/bike-sharing/,No,최적화 좋은 Reference 자료,Operation Research
VRP Pcikup Delivery Problem,https://github.com/pgRouting/pgrouting/wiki/VRP-Pickup-Delivery-Problem,No,,Operation Research
Testing your machine learning (ML) pipelines,https://intothedepthsofdataengineering.wordpress.com/2019/07/18/testing-your-machine-learning-ml-pipelines/,No,,MLOps
Julia Book,https://benlauwens.github.io/ThinkJulia.jl/latest/book.html,No,,Julia
plotly.express,https://www.kaggle.com/subinium/road-to-viz-expert-3-geo-with-plotly-express,No,Plotly express 정말 좋은..! 수빈님 자료 짱짱,Data Visualization
Julia Learning,https://julialang.org/learning/,No,Julia를 어떻게 배울 수 있는지 나온 부분,Julia
Causal Inference Book,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,No,"우연히 발견했는데, 꽤 괜찮은 책-! 나중에 조금씩 보면 좋을 것 같음",Causal Inference
BigQuery 비용 최적화,https://cloud.google.com/blog/products/data-analytics/cost-optimization-best-practices-for-bigquery,No,알뜰하게 잘 쓰기 위해 알면 좋은 내용,BigQuery
Algorithms For Optimization,https://mitpress.mit.edu/books/algorithms-optimization,No,"최적화 문제를 다룬 책인데, Julia로 진행되서 더 좋음","Julia, Operation Research"
VS CODE를 웹 상에 띄워놓고 어디서든 코딩하기,https://eungbean.github.io/2019/11/04/remote-vscode/,No,"VS code 띄워서 하는건 예전에 실습하며 해봤는데, 신기했음..! Try",Development
Cloud Function을 AI Platform에 올리기,https://cloud.google.com/blog/products/ai-machine-learning/empower-your-ai-platform-trained-serverless-endpoints-with-machine-learning-on-google-cloud-functions,No,,"Google Cloud Platform, MLOps"
ML on GCP,https://github.com/GoogleCloudPlatform/ml-on-gcp,No,,"Google Cloud Platform, MLOps"
QGIS Cookbook(한글판),https://drive.google.com/file/d/1_v1KiMk8SWiavp7kcj1pq26uGlTxUzWU/view,No,,QGIS
MSA에서 여러 API 호출로 응답시간 줄이기,https://www.popit.kr/msa에서-동시에-여러-api-호출로-응답-시간-줄이기/,No,,Development
AI 연구자를 위한 클린코드,https://www.slideshare.net/KennethCeyer/ai-gdg-devfest-seoul-2019-187630418,No,,Development
CS246: Mining Massive Data Sets,https://web.stanford.edu/class/cs246/,No,,Large Data
What-If Tool,https://arxiv.org/pdf/1907.04135.pdf,No,,Data Visualization
NGBoost,https://arxiv.org/abs/1910.03225,No,,Machine Learning
Developing real-time ML system with Apache Kafka (ko),https://speakerdeck.com/dongjin/developing-real-time-ml-system-with-apache-kafka-ko?slide=25,No,,MLOps
Pandas Bokeh,https://github.com/PatrikHlobil/Pandas-Bokeh,No,,Data Visualization
What if Tool,https://github.com/PAIR-code/what-if-tool,No,,MLOps
service-streamer,https://github.com/ShannonAI/service-streamer,No,,MLOps
pydeck,https://dailyheumsi.tistory.com/147?category=854906,No,,Data Visualization
MAPE가 좋을까?,https://stats.stackexchange.com/questions/280464/is-mape-a-good-error-measurement-statistic-and-what-alternatives-are-there,No,,Machine Learning
서버리스를 활용한 분산 처리,https://www.slideshare.net/MinJunKim5/masocon-2019-serverless-kimminjun,No,,Data Engineering
dgl,https://github.com/dmlc/dgl,No,,Graph
Airflow Example,https://github.com/gtoonstra/etl-with-airflow,No,,Data Engineering
Explainable AI,https://storage.googleapis.com/cloud-ai-whitepapers/AI%20Explainability%20Whitepaper.pdf,No,,MLOps
이상엽Math 유튜브,https://www.youtube.com/channel/UC-7H7ZImLfGF97Y_EJ0vZzA,No,,Math
Networks books,http://www.cs.cornell.edu/home/kleinber/networks-book/,No,,Graph
CS224w(ML with Graph),http://web.stanford.edu/class/cs224w/,No,,Graph
류성옥님 추천 Robust Optimization 자료,,No,,Robust Optimization
